zip,city,county
31042,IRWINTON,WILKINSON
31760,IRWINVILLE,IRWIN
30233,JACKSON,BUTTS
31544,JACKSONVILLE,TELFAIR
39861,JAKIN,EARLY
30143,JASPER,PICKENS
30549,JEFFERSON,JACKSON
31044,JEFFERSONVILLE,TWIGGS
31527,JEKYLL ISLAND,GLYNN
30234,JENKINSBURG,BUTTS
30018,JERSEY,WALTON
31545,JESUP,WAYNE
31546,JESUP,WAYNE
31598,JESUP,WAYNE
31045,JEWELL,WARREN
30236,JONESBORO,CLAYTON
30237,JONESBORO,CLAYTON
30238,JONESBORO,CLAYTON
31046,JULIETTE,MONROE
31812,JUNCTION CITY,TALBOT
31047,KATHLEEN,HOUSTON
30144,KENNESAW,COBB
30152,KENNESAW,COBB
30156,KENNESAW,COBB
30160,KENNESAW,COBB
30816,KEYSVILLE,BURKE
31547,KINGS BAY,CAMDEN
31548,KINGSLAND,CAMDEN
30145,KINGSTON,BARTOW
31049,KITE,JOHNSON
31050,KNOXVILLE,CRAWFORD
30728,LA FAYETTE,WALKER
30240,LAGRANGE,TROUP
30241,LAGRANGE,TROUP
30261,LAGRANGE,TROUP
31636,LAKE PARK,LOWNDES
31635,LAKELAND,LANIER
30552,LAKEMONT,RABUN
30553,LAVONIA,FRANKLIN
30042,LAWRENCEVILLE,GWINNETT
30043,LAWRENCEVILLE,GWINNETT
30044,LAWRENCEVILLE,GWINNETT
30045,LAWRENCEVILLE,GWINNETT
30046,LAWRENCEVILLE,GWINNETT
30049,LAWRENCEVILLE,GWINNETT
39862,LEARY,CALHOUN
30146,LEBANON,CHEROKEE
31763,LEESBURG,LEE
31637,LENOX,COOK
31764,LESLIE,SUMTER
30648,LEXINGTON,OGLETHORPE
30047,LILBURN,GWINNETT
30048,LILBURN,GWINNETT
31051,LILLY,DOOLY
30817,LINCOLNTON,LINCOLN
30147,LINDALE,FLOYD
30122,LITHIA SPRINGS,DOUGLAS
30038,LITHONIA,DEKALB
30058,LITHONIA,DEKALB
31052,LIZELLA,BIBB
30248,LOCUST GROVE,HENRY
30052,LOGANVILLE,WALTON
30750,LOOKOUT MOUNTAIN,WALKER
30434,LOUISVILLE,JEFFERSON
30250,LOVEJOY,CLAYTON
31316,LUDOWICI,LONG
30554,LULA,HALL
31549,LUMBER CITY,TELFAIR
31815,LUMPKIN,STEWART
30251,LUTHERSVILLE,MERIWETHER
30730,LYERLY,CHATTOOGA
30436,LYONS,TOOMBS
30126,MABLETON,COBB
31201,MACON,BIBB
31202,MACON,BIBB
31203,MACON,BIBB
31204,MACON,BIBB
31205,MACON,BIBB
31206,MACON,BIBB
31207,MACON,BIBB
31208,MACON,BIBB
31209,MACON,BIBB
31210,MACON,BIBB
31211,MACON,BIBB
31213,MACON,BIBB
31216,MACON,BIBB
31217,MACON,BIBB
31220,MACON,BIBB
31221,MACON,BIBB
31295,MACON,BIBB
31296,MACON,BIBB
31297,MACON,BIBB
30650,MADISON,MORGAN
31816,MANCHESTER,MERIWETHER
31550,MANOR,WARE
30055,MANSFIELD,NEWTON
30148,MARBLE HILL,PICKENS
30006,MARIETTA,COBB
30007,MARIETTA,COBB
30008,MARIETTA,COBB
30060,MARIETTA,COBB
30061,MARIETTA,COBB
30062,MARIETTA,COBB
30063,MARIETTA,COBB
30064,MARIETTA,COBB
30065,MARIETTA,COBB
30066,MARIETTA,COBB
30067,MARIETTA,COBB
30068,MARIETTA,COBB
30069,MARIETTA,COBB
30090,MARIETTA,COBB
31057,MARSHALLVILLE,MACON
30557,MARTIN,STEPHENS
30818,MATTHEWS,JEFFERSON
31058,MAUK,MARION
30671,MAXEYS,OGLETHORPE
30558,MAYSVILLE,BANKS
30555,MC CAYSVILLE,FANNIN
31054,MC INTYRE,WILKINSON
31055,MC RAE,TELFAIR
30252,MCDONOUGH,HENRY
30253,MCDONOUGH,HENRY
30256,MEANSVILLE,PIKE
31765,MEIGS,THOMAS
31318,MELDRIM,EFFINGHAM
30731,MENLO,CHATTOOGA
31319,MERIDIAN,MCINTOSH
31551,MERSHON,PIERCE
30439,METTER,CANDLER
31820,MIDLAND,MUSCOGEE
30441,MIDVILLE,BURKE
31320,MIDWAY,LIBERTY
31060,MILAN,DODGE
31059,MILLEDGEVILLE,BALDWIN
31061,MILLEDGEVILLE,BALDWIN
31062,MILLEDGEVILLE,BALDWIN
30442,MILLEN,JENKINS
31552,MILLWOOD,WARE
30257,MILNER,LAMAR
30559,MINERAL BLUFF,FANNIN
30820,MITCHELL,GLASCOCK
30258,MOLENA,PIKE
30655,MONROE,WALTON
30656,MONROE,WALTON
31063,MONTEZUMA,MACON
31064,MONTICELLO,JASPER
31065,MONTROSE,LAURENS
31699,MOODY AFB,LOWNDES
30259,MORELAND,COWETA
39866,MORGAN,CALHOUN
30560,MORGANTON,FANNIN
39867,MORRIS,QUITMAN
30260,MORROW,CLAYTON
30287,MORROW,CLAYTON
31638,MORVEN,BROOKS
31768,MOULTRIE,COLQUITT
31776,MOULTRIE,COLQUITT
31788,MOULTRIE,COLQUITT
30563,MOUNT AIRY,HABERSHAM
30149,MOUNT BERRY,FLOYD
30445,MOUNT VERNON,MONTGOMERY
30150,MOUNT ZION,CARROLL
30562,MOUNTAIN CITY,RABUN
30564,MURRAYVILLE,HALL
31066,MUSELLA,CRAWFORD
31769,MYSTIC,IRWIN
31553,NAHUNTA,BRANTLEY
31639,NASHVILLE,BERRIEN
31641,NAYLOR,LOWNDES
30151,NELSON,CHEROKEE
30056,NEWBORN,NEWTON
30446,NEWINGTON,SCREVEN
30263,NEWNAN,COWETA
30264,NEWNAN,COWETA
30265,NEWNAN,COWETA
30271,NEWNAN,COWETA
39870,NEWTON,BAKER
31554,NICHOLLS,COFFEE
30565,NICHOLSON,JACKSON
30003,NORCROSS,GWINNETT
30010,NORCROSS,GWINNETT
30071,NORCROSS,GWINNETT
30091,NORCROSS,GWINNETT
30093,NORCROSS,GWINNETT
31771,NORMAN PARK,COLQUITT
30026,NORTH METRO,GWINNETT
30029,NORTH METRO,GWINNETT
30821,NORWOOD,WARREN
30448,NUNEZ,EMANUEL
31772,OAKFIELD,WORTH
30732,OAKMAN,GORDON
30566,OAKWOOD,HALL
31773,OCHLOCKNEE,THOMAS
31774,OCILLA,IRWIN
31067,OCONEE,WASHINGTON
31555,ODUM,WAYNE
31556,OFFERMAN,PIERCE
31068,OGLETHORPE,MACON
30449,OLIVER,SCREVEN
31821,OMAHA,STEWART
31775,OMEGA,TIFT
30266,ORCHARD HILL,SPALDING
30054,OXFORD,NEWTON
30268,PALMETTO,FULTON
39877,PARROTT,TERRELL
31557,PATTERSON,PIERCE
31778,PAVO,THOMAS
30269,PEACHTREE CITY,FAYETTE
31169,PEACHTREE CITY,FAYETTE
30092,PEACHTREE CORNERS,GWINNETT
31642,PEARSON,ATKINSON
31779,PELHAM,MITCHELL
31321,PEMBROKE,BRYAN
30567,PENDERGRASS,JACKSON
30822,PERKINS,JENKINS
31069,PERRY,HOUSTON
30072,PINE LAKE,DEKALB
31822,PINE MOUNTAIN,HARRIS
31823,PINE MOUNTAIN VALLEY,HARRIS
31070,PINEHURST,DOOLY
31071,PINEVIEW,WILCOX
31072,PITTS,WILCOX
31780,PLAINS,SUMTER
30733,PLAINVILLE,GORDON
31322,POOLER,CHATHAM
31407,PORT WENTWORTH,CHATHAM
30450,PORTAL,BULLOCH
30070,PORTERDALE,NEWTON
31781,POULAN,WORTH
30127,POWDER SPRINGS,COBB
31824,PRESTON,WEBSTER
30451,PULASKI,CANDLER
31643,QUITMAN,BROOKS
30568,RABUN GAP,RABUN
30734,RANGER,GORDON
31645,RAY CITY,BERRIEN
30660,RAYLE,WILKES
31783,REBECCA,TURNER
30272,RED OAK,FULTON
30074,REDAN,DEKALB
30452,REGISTER,BULLOCH
30453,REIDSVILLE,TATTNALL
31075,RENTZ,LAURENS
30735,RESACA,GORDON
30273,REX,CLAYTON
31076,REYNOLDS,TAYLOR
31077,RHINE,DODGE
31323,RICEBORO,LIBERTY
31825,RICHLAND,STEWART
31324,RICHMOND HILL,BRYAN
31326,RINCON,EFFINGHAM
30736,RINGGOLD,CATOOSA
30738,RISING FAWN,DADE
30274,RIVERDALE,CLAYTON
30296,RIVERDALE,CLAYTON
31078,ROBERTA,CRAWFORD
31079,ROCHELLE,WILCOX
30739,ROCK SPRING,WALKER
30454,ROCKLEDGE,LAURENS
30153,ROCKMART,POLK
30740,ROCKY FACE,WHITFIELD
30455,ROCKY FORD,SCREVEN
30161,ROME,FLOYD
30162,ROME,FLOYD
30163,ROME,FLOYD
30164,ROME,FLOYD
30165,ROME,FLOYD
30170,ROOPVILLE,CARROLL
30741,ROSSVILLE,WALKER
30075,ROSWELL,FULTON
30076,ROSWELL,FULTON
30077,ROSWELL,FULTON
30662,ROYSTON,FRANKLIN
31081,RUPERT,TAYLOR
30663,RUTLEDGE,MORGAN
30171,RYDAL,BARTOW
31562,SAINT GEORGE,CHARLTON
31558,SAINT MARYS,CAMDEN
31522,SAINT SIMONS ISLAND,GLYNN
31784,SALE CITY,MITCHELL
31082,SANDERSVILLE,WASHINGTON
30456,SARDIS,BURKE
30275,SARGENT,COWETA
39885,SASSER,TERRELL
30571,SAUTEE NACOOCHEE,WHITE
31401,SAVANNAH,CHATHAM
31402,SAVANNAH,CHATHAM
31403,SAVANNAH,CHATHAM
31404,SAVANNAH,CHATHAM
31405,SAVANNAH,CHATHAM
31406,SAVANNAH,CHATHAM
31408,SAVANNAH,CHATHAM
31409,SAVANNAH,CHATHAM
31410,SAVANNAH,CHATHAM
31411,SAVANNAH,CHATHAM
31412,SAVANNAH,CHATHAM
31414,SAVANNAH,CHATHAM
31415,SAVANNAH,CHATHAM
31416,SAVANNAH,CHATHAM
31418,SAVANNAH,CHATHAM
31419,SAVANNAH,CHATHAM
31420,SAVANNAH,CHATHAM
31421,SAVANNAH,CHATHAM
31083,SCOTLAND,TELFAIR
30079,SCOTTDALE,DEKALB
31560,SCREVEN,WAYNE
31561,SEA ISLAND,GLYNN
30276,SENOIA,COWETA
31085,SHADY DALE,JASPER
30172,SHANNON,FLOYD
30664,SHARON,TALIAFERRO
30277,SHARPSBURG,COWETA
39886,SHELLMAN,RANDOLPH
31826,SHILOH,HARRIS
30665,SILOAM,GREENE
30173,SILVER CREEK,FLOYD
31086,SMARR,MONROE
31787,SMITHVILLE,LEE
30080,SMYRNA,COBB
30081,SMYRNA,COBB
30082,SMYRNA,COBB
30039,SNELLVILLE,GWINNETT
30078,SNELLVILLE,GWINNETT
30025,SOCIAL CIRCLE,WALTON
30457,SOPERTON,TREUTLEN
31647,SPARKS,COOK
31087,SPARTA,HANCOCK
31329,SPRINGFIELD,EFFINGHAM
30823,STAPLETON,JEFFERSON
31648,STATENVILLE,ECHOLS
30458,STATESBORO,BULLOCH
30459,STATESBORO,BULLOCH
30460,STATESBORO,BULLOCH
30461,STATESBORO,BULLOCH
30666,STATHAM,BARROW
30667,STEPHENS,OGLETHORPE
30464,STILLMORE,EMANUEL
30281,STOCKBRIDGE,HENRY
31649,STOCKTON,LANIER
30083,STONE MOUNTAIN,DEKALB
30086,STONE MOUNTAIN,DEKALB
30087,STONE MOUNTAIN,DEKALB
30088,STONE MOUNTAIN,DEKALB
30572,SUCHES,UNION
30746,SUGAR VALLEY,GORDON
30747,SUMMERVILLE,CHATTOOGA
31789,SUMNER,WORTH
30284,SUNNY SIDE,SPALDING
31563,SURRENCY,APPLING
30024,SUWANEE,GWINNETT
30401,SWAINSBORO,EMANUEL
31790,SYCAMORE,TURNER
30467,SYLVANIA,SCREVEN
31791,SYLVESTER,WORTH
31827,TALBOTTON,TALBOT
30175,TALKING ROCK,PICKENS
30176,TALLAPOOSA,HARALSON
30573,TALLULAH FALLS,RABUN
30575,TALMO,JACKSON
30470,TARRYTOWN,MONTGOMERY
30177,TATE,PICKENS
30178,TAYLORSVILLE,BARTOW
30179,TEMPLE,CARROLL
30751,TENNGA,MURRAY
31089,TENNILLE,WASHINGTON
30285,THE ROCK,UPSON
30286,THOMASTON,UPSON
31757,THOMASVILLE,THOMAS
31758,THOMASVILLE,THOMAS
31792,THOMASVILLE,THOMAS
31799,THOMASVILLE,THOMAS
30824,THOMSON,MCDUFFIE
31793,TIFTON,TIFT
31794,TIFTON,TIFT
30576,TIGER,RABUN
30668,TIGNALL,WILKES
30577,TOCCOA,STEPHENS
30598,TOCCOA FALLS,STEPHENS
31090,TOOMSBORO,WILKINSON
31331,TOWNSEND,MCINTOSH
30752,TRENTON,DADE
30753,TRION,CHATTOOGA
30084,TUCKER,DEKALB
30085,TUCKER,DEKALB
30755,TUNNEL HILL,WHITFIELD
30289,TURIN,COWETA
30580,TURNERVILLE,HABERSHAM
30471,TWIN CITY,EMANUEL
31795,TY TY,TIFT
31328,TYBEE ISLAND,CHATHAM
30290,TYRONE,FAYETTE
31091,UNADILLA,DOOLY
30291,UNION CITY,FULTON
30669,UNION POINT,GREENE
31829,UPATOI,MUSCOGEE
30473,UVALDA,MONTGOMERY
31601,VALDOSTA,LOWNDES
31602,VALDOSTA,LOWNDES
31603,VALDOSTA,LOWNDES
31604,VALDOSTA,LOWNDES
31605,VALDOSTA,LOWNDES
31606,VALDOSTA,LOWNDES
31698,VALDOSTA,LOWNDES
30756,VARNELL,WHITFIELD
30474,VIDALIA,TOOMBS
30475,VIDALIA,TOOMBS
31092,VIENNA,DOOLY
30180,VILLA RICA,CARROLL
30182,WACO,HARALSON
30477,WADLEY,JEFFERSON
30183,WALESKA,CHEROKEE
31333,WALTHOURVILLE,LIBERTY
31830,WARM SPRINGS,MERIWETHER
31088,WARNER ROBINS,HOUSTON
31093,WARNER ROBINS,HOUSTON
31095,WARNER ROBINS,HOUSTON
31098,WARNER ROBINS,HOUSTON
31099,WARNER ROBINS,HOUSTON
30828,WARRENTON,WARREN
31094,WARTHEN,WASHINGTON
31796,WARWICK,WORTH
30673,WASHINGTON,WILKES
30677,WATKINSVILLE,OCONEE
31565,WAVERLY,CAMDEN
31831,WAVERLY HALL,HARRIS
31501,WAYCROSS,WARE
31502,WAYCROSS,WARE
31503,WAYCROSS,WARE
30830,WAYNESBORO,BURKE
31566,WAYNESVILLE,BRANTLEY
31567,WEST GREEN,COFFEE
31833,WEST POINT,TROUP
31832,WESTON,WEBSTER
39897,WHIGHAM,GRADY
30184,WHITE,BARTOW
31568,WHITE OAK,CAMDEN
30678,WHITE PLAINS,GREENE
30185,WHITESBURG,CARROLL
30757,WILDWOOD,DADE
30581,WILEY,RABUN
31650,WILLACOOCHEE,ATKINSON
30292,WILLIAMSON,PIKE
30680,WINDER,BARROW
30187,WINSTON,DOUGLAS
30683,WINTERVILLE,CLARKE
31569,WOODBINE,CAMDEN
30293,WOODBURY,MERIWETHER
31836,WOODLAND,TALBOT
30188,WOODSTOCK,CHEROKEE
30189,WOODSTOCK,CHEROKEE
31798,WRAY,IRWIN
30833,WRENS,JEFFERSON
31096,WRIGHTSVILLE,JOHNSON
31097,YATESVILLE,UPSON
30582,YOUNG HARRIS,TOWNS
30295,ZEBULON,PIKE
